149 2.0
0.10462 0.14146E+01 0.79605E+00
0.1107 0.15369E+01 0.74714E+00
0.11718 0.16026E+01 0.68685E+00
0.12404 0.16407E+01 0.62588E+00
0.13131 0.16564E+01 0.57157E+00
0.13899 0.16573E+01 0.52889E+00
0.14712 0.16507E+01 0.49907E+00
0.15573 0.16414E+01 0.47855E+00
0.16485 0.16276E+01 0.46559E+00
0.1745 0.16105E+01 0.46619E+00
0.18471 0.16003E+01 0.48128E+00
0.19552 0.16048E+01 0.50096E+00
0.20694 0.16169E+01 0.51175E+00
0.21908 0.16273E+01 0.51599E+00
0.23191 0.16189E+01 0.51434E+00
0.24546 0.16055E+01 0.54823E+00
0.25981 0.16169E+01 0.58439E+00
0.27502 0.16362E+01 0.61903E+00
0.2911 0.16592E+01 0.64703E+00
0.30818 0.16871E+01 0.68270E+00
0.32618 0.17278E+01 0.70727E+00
0.34535 0.17643E+01 0.72423E+00
0.36551 0.17986E+01 0.74168E+00
0.38695 0.18365E+01 0.76024E+00
0.40958 0.18789E+01 0.77430E+00
0.4335 0.19207E+01 0.78226E+00
0.45885 0.19595E+01 0.78793E+00
0.48582 0.19977E+01 0.79392E+00
0.51423 0.20366E+01 0.79842E+00
0.54425 0.20745E+01 0.80087E+00
0.57612 0.21123E+01 0.80375E+00
0.60984 0.21529E+01 0.80537E+00
0.64539 0.21960E+01 0.80049E+00
0.68346 0.22302E+01 0.78468E+00
0.72334 0.22520E+01 0.78081E+00
0.76578 0.22847E+01 0.78306E+00
0.81033 0.23179E+01 0.77344E+00
0.85799 0.23410E+01 0.76754E+00
0.90828 0.23659E+01 0.76593E+00
0.96109 0.23911E+01 0.76537E+00
1.0179 0.24176E+01 0.76593E+00
1.0772 0.24455E+01 0.76645E+00
1.1406 0.24744E+01 0.76465E+00
1.2072 0.25006E+01 0.76119E+00
1.2775 0.25238E+01 0.75901E+00
1.3522 0.25473E+01 0.76012E+00
1.4313 0.25727E+01 0.76009E+00
1.5151 0.25939E+01 0.75901E+00
1.6039 0.26141E+01 0.76600E+00
1.6977 0.26412E+01 0.77280E+00
1.7971 0.26678E+01 0.77731E+00
1.9021 0.26951E+01 0.78398E+00
2.0136 0.27248E+01 0.78831E+00
2.1313 0.27532E+01 0.79342E+00
2.2562 0.27847E+01 0.79891E+00
2.3879 0.28180E+01 0.80082E+00
2.5281 0.28490E+01 0.79985E+00
2.676 0.28786E+01 0.80007E+00
2.8325 0.29087E+01 0.79805E+00
2.9983 0.29350E+01 0.79566E+00
3.1741 0.29617E+01 0.79775E+00
3.3599 0.29970E+01 0.79642E+00
3.5565 0.30205E+01 0.77557E+00
3.7638 0.30248E+01 0.77792E+00
3.9839 0.30448E+01 0.78566E+00
4.217 0.30651E+01 0.79178E+00
4.4645 0.30869E+01 0.79754E+00
4.7266 0.31093E+01 0.80272E+00
5.0032 0.31309E+01 0.80437E+00
5.296 0.31466E+01 0.80345E+00
5.6049 0.31502E+01 0.80395E+00
5.9321 0.31432E+01 0.82333E+00
6.2806 0.31488E+01 0.86481E+00
6.6477 0.31718E+01 0.90467E+00
7.0363 0.32002E+01 0.94697E+00
7.4507 0.32410E+01 0.98852E+00
7.8868 0.32907E+01 0.10280E+01
8.3488 0.33553E+01 0.10599E+01
8.8368 0.34283E+01 0.10697E+01
9.3499 0.34849E+01 0.10557E+01
9.9026 0.35230E+01 0.10487E+01
10.48 0.35501E+01 0.10359E+01
11.089 0.35677E+01 0.10582E+01
11.741 0.36142E+01 0.10639E+01
12.428 0.36378E+01 0.10696E+01
13.156 0.36692E+01 0.10856E+01
13.926 0.37056E+01 0.10957E+01
14.74 0.37328E+01 0.10996E+01
15.603 0.37507E+01 0.11178E+01
16.517 0.37849E+01 0.11452E+01
17.484 0.38150E+01 0.11502E+01
18.507 0.38350E+01 0.11896E+01
19.589 0.38773E+01 0.11957E+01
20.736 0.38801E+01 0.12383E+01
21.951 0.39384E+01 0.12918E+01
23.235 0.39938E+01 0.12982E+01
24.594 0.40161E+01 0.13280E+01
26.035 0.40673E+01 0.13635E+01
27.557 0.41084E+01 0.13806E+01
29.172 0.41444E+01 0.14233E+01
30.879 0.42005E+01 0.14436E+01
32.687 0.42387E+01 0.14839E+01
34.593 0.42991E+01 0.14931E+01
36.626 0.43200E+01 0.15294E+01
38.768 0.43765E+01 0.15580E+01
41.039 0.44032E+01 0.15859E+01
43.441 0.44375E+01 0.16364E+01
