386 2.24
6.199200E-05 1 1.4161E-17
6.888000E-05 0.999999 4.0490E-10
7.749000E-05 0.999998 6.6150E-10
8.856000E-05 0.999998 1.3050E-09
1.033200E-04 0.999997 2.6570E-09
1.239840E-04 0.999996 4.5370E-09
1.549800E-04 0.999993 1.1500E-08
2.066400E-04 0.999988 3.7800E-08
2.479680E-04 0.999982 7.9950E-08
3.099600E-04 0.999972 1.9880E-07
4.132800E-04 0.99995 6.3700E-07
4.959360E-04 0.999928 1.3220E-06
6.199200E-04 0.999887 3.2140E-06
6.525474E-04 0.999874 3.9370E-06
6.888000E-04 0.99986 4.8720E-06
7.293177E-04 0.999842 6.1010E-06
7.749000E-04 0.999822 7.7360E-06
8.265600E-04 0.999796 9.9570E-06
8.856000E-04 0.999766 1.3020E-05
9.537231E-04 0.999727 1.7350E-05
1.033200E-03 0.999679 2.3640E-05
1.127127E-03 0.999616 3.3010E-05
1.239840E-03 0.999534 4.7480E-05
1.305095E-03 0.999483 5.7680E-05
1.377600E-03 0.999423 7.0740E-05
1.458635E-03 0.999352 8.7710E-05
1.549800E-03 0.999268 1.1000E-04
1.653120E-03 0.999167 1.3990E-04
1.771200E-03 0.999046 1.8050E-04
1.907446E-03 0.998896 2.3680E-04
2.066400E-03 0.998713 3.1680E-04
2.254255E-03 0.998486 4.3320E-04
2.479680E-03 0.998205 6.0760E-04
2.755200E-03 0.997856 8.7790E-04
3.099600E-03 0.99746 1.3140E-03
3.262737E-03 0.997295 1.5610E-03
3.444000E-03 0.997143 1.8670E-03
3.646588E-03 0.997026 2.2510E-03
3.757091E-03 0.996975 2.4780E-03
3.874500E-03 0.996817 2.7180E-03
3.936000E-03 0.996581 3.2610E-03
3.999484E-03 0.996999 4.0790E-03
4.012427E-03 0.997206 4.2450E-03
4.025455E-03 0.99755 4.3600E-03
4.038567E-03 0.997899 4.2210E-03
4.051765E-03 0.998031 3.9790E-03
4.065049E-03 0.998053 3.8910E-03
4.078421E-03 0.998156 3.8530E-03
