383 2.24
6.199200E-05 1 1.4471E-17
6.888000E-05 0.999999 4.0490E-10
7.749000E-05 0.999998 6.6150E-10
8.856000E-05 0.999998 1.3050E-09
1.033200E-04 0.999997 2.6570E-09
1.239840E-04 0.999996 4.5370E-09
1.549800E-04 0.999993 1.1500E-08
2.066400E-04 0.999987 3.7800E-08
2.479680E-04 0.999982 7.9950E-08
3.099600E-04 0.999972 1.9880E-07
4.132800E-04 0.999949 6.3700E-07
4.959360E-04 0.999927 1.3220E-06
6.199200E-04 0.999885 3.2140E-06
6.525474E-04 0.999872 3.9370E-06
6.888000E-04 0.999857 4.8720E-06
7.293177E-04 0.999839 6.1010E-06
7.749000E-04 0.999818 7.7360E-06
8.265600E-04 0.999793 9.9570E-06
8.856000E-04 0.999761 1.3020E-05
9.537231E-04 0.999722 1.7350E-05
1.033200E-03 0.999673 2.3640E-05
1.127127E-03 0.999609 3.3010E-05
1.239840E-03 0.999526 4.7480E-05
1.305095E-03 0.999473 5.7680E-05
1.377600E-03 0.999412 7.0740E-05
1.458635E-03 0.99934 8.7710E-05
1.549800E-03 0.999255 1.1000E-04
1.653120E-03 0.999153 1.3990E-04
1.771200E-03 0.999028 1.8050E-04
1.907446E-03 0.998877 2.3680E-04
2.066400E-03 0.998691 3.1680E-04
2.254255E-03 0.998459 4.3320E-04
2.479680E-03 0.998172 6.0760E-04
2.755200E-03 0.997815 8.7790E-04
3.099600E-03 0.99741 1.3140E-03
3.262737E-03 0.99724 1.5610E-03
3.444000E-03 0.997084 1.8670E-03
3.646588E-03 0.99698 2.2510E-03
3.757091E-03 0.996894 2.4290E-03
3.874500E-03 0.996646 2.7190E-03
3.936000E-03 0.996533 3.3060E-03
3.999484E-03 0.996918 4.0800E-03
4.012427E-03 0.997122 4.2450E-03
4.025455E-03 0.997465 4.3600E-03
4.038567E-03 0.997813 4.2210E-03
4.051765E-03 0.997944 3.9800E-03
4.065049E-03 0.997966 3.8910E-03
4.078421E-03 0.998067 3.8530E-03
4.091881E-03 0.998221 3.7120E-03
4.105431E-03 0.998191 3.4150E-03
4.119070E-03 0.998015 3.3240E-03
4.132800E-03 0.997788 3.2850E-03
4.146622E-03 0.997624 3.5070E-03
4.160537E-03 0.997607 3.6780E-03
4.174545E-03 0.997469 3.8500E-03
4.188649E-03 0.997591 4.4460E-03
4.202847E-03 0.998028 4.6730E-03
4.217143E-03 0.998447 4.8480E-03
4.231536E-03 0.999059 4.9700E-03
4.244574E-03 0.999576 4.6620E-03
4.246028E-03 0.99972 4.8780E-03
4.250394E-03 1.00055 5.0920E-03
4.251852E-03 1.00083 4.7190E-03
4.253311E-03 1.00103 4.1850E-03
4.259155E-03 1.00058 2.7450E-03
4.260619E-03 1.00033 2.5860E-03
4.275310E-03 0.998997 2.7640E-03
4.290104E-03 0.998576 3.2630E-03
4.305000E-03 0.998436 3.6020E-03
4.320000E-03 0.997925 4.0000E-03
4.327539E-03 0.997382 4.8300E-03
4.335105E-03 0.996624 6.4870E-03
4.338139E-03 0.997211 8.9550E-03
4.339657E-03 0.997766 9.8220E-03
4.341177E-03 0.998796 1.0450E-02
4.342697E-03 1.0001 1.0850E-02
4.344219E-03 1.00132 1.1120E-02
4.345742E-03 1.00249 1.0830E-02
4.347265E-03 1.00361 1.0250E-02
4.348790E-03 1.00464 9.6050E-03
4.350316E-03 1.00544 8.9070E-03
4.351843E-03 1.00605 8.0710E-03
4.354900E-03 1.00692 6.3510E-03
4.357961E-03 1.00725 4.5470E-03
4.361027E-03 1.00699 2.7800E-03
4.364097E-03 1.00606 1.0070E-03
4.365634E-03 1.00553 5.7080E-04
4.373333E-03 1.00336 2.9960E-04
4.381060E-03 1.00239 2.4620E-04
4.396596E-03 1.00131 1.9370E-04
4.428000E-03 1.00022 1.9880E-04
4.508509E-03 0.998997 2.1180E-04
4.592000E-03 0.998325 2.2580E-04
4.768616E-03 0.997425 2.5740E-04
5.166000E-03 0.996077 3.3900E-04
5.635636E-03 0.994745 4.5630E-04
6.199200E-03 0.993186 6.3030E-04
6.525474E-03 0.992254 7.4880E-04
6.888000E-03 0.991186 8.9740E-04
7.084800E-03 0.990585 9.8580E-04
7.293177E-03 0.989929 1.0860E-03
7.749000E-03 0.988459 1.3280E-03
8.265601E-03 0.986698 1.6430E-03
8.856000E-03 0.984558 2.0610E-03
9.537231E-03 0.981928 2.6240E-03
1.033200E-02 0.978627 3.4030E-03
1.127127E-02 0.974407 4.5040E-03
1.239840E-02 0.968926 6.1100E-03
1.305095E-02 0.965526 7.1980E-03
1.377600E-02 0.961565 8.5480E-03
1.458635E-02 0.956935 1.0240E-02
1.549800E-02 0.951454 1.2400E-02
1.653120E-02 0.944893 1.5200E-02
1.771200E-02 0.937042 1.8870E-02
1.907446E-02 0.927441 2.3790E-02
2.066400E-02 0.915759 3.0550E-02
2.156243E-02 0.908838 3.4880E-02
2.214000E-02 0.904327 3.7881E-02
2.296000E-02 0.89789 4.2421E-02
2.361600E-02 0.89269 4.6311E-02
2.479680E-02 0.88318 5.3891E-02
2.583000E-02 0.87498 6.1141E-02
2.695304E-02 0.86608 6.9792E-02
2.817818E-02 0.85688 8.0002E-02
2.952000E-02 0.84738 9.2293E-02
3.099600E-02 0.83857 1.0690E-01
3.179077E-02 0.83507 1.1520E-01
3.262737E-02 0.83277 1.2410E-01
3.350919E-02 0.83247 1.3370E-01
3.444000E-02 0.85037 1.4111E-01
3.542400E-02 0.84257 1.0680E-01
3.646588E-02 0.81296 1.1071E-01
3.757091E-02 0.79386 1.1651E-01
3.874500E-02 0.77246 1.2301E-01
3.999484E-02 0.74895 1.3351E-01
4.132800E-02 0.72315 1.4521E-01
4.275310E-02 0.68464 1.6071E-01
4.428000E-02 0.65124 1.9962E-01
4.592000E-02 0.61813 2.3463E-01
4.768616E-02 0.58853 2.8884E-01
4.959360E-02 0.56443 3.4545E-01
5.166000E-02 0.54473 4.1306E-01
5.390609E-02 0.53103 4.8956E-01
5.635637E-02 0.52744 5.7827E-01
5.904000E-02 0.54114 6.7447E-01
6.199200E-02 0.56484 7.7018E-01
6.525474E-02 0.58935 8.7378E-01
6.888000E-02 0.64535 1.0231E+00
7.293177E-02 0.74775 1.1571E+00
7.749000E-02 0.87175 1.3191E+00
8.265600E-02 1.14285 1.4441E+00
8.856000E-02 1.42494 1.4561E+00
9.116471E-02 1.54563 1.4571E+00
9.322105E-02 1.65763 1.4591E+00
9.537231E-02 1.79763 1.4241E+00
9.762520E-02 1.93222 1.3531E+00
9.999516E-02 2.0649 1.2461E+00
1.024661E-01 2.1819 1.1010E+00
1.050000E-01 2.2429 8.7154E-01
1.078122E-01 2.1829 6.6874E-01
1.109973E-01 2.0869 5.3243E-01
1.148000E-01 1.98155 4.3023E-01
1.180013E-01 1.90333 3.7193E-01
1.215529E-01 1.82482 3.1893E-01
1.249965E-01 1.7498 2.8003E-01
1.278186E-01 1.68778 2.5573E-01
1.305095E-01 1.62836 2.3954E-01
1.333161E-01 1.56834 2.3134E-01
1.362461E-01 1.50812 2.2884E-01
1.389955E-01 1.4545 2.3115E-01
1.408909E-01 1.41808 2.3455E-01
1.425104E-01 1.38737 2.3906E-01
1.441674E-01 1.35625 2.4506E-01
1.458635E-01 1.32454 2.5297E-01
1.490013E-01 1.26931 2.7298E-01
1.549800E-01 1.17445 3.1932E-01
1.600000E-01 1.09695 3.6016E-01
1.653120E-01 1.01256 4.1482E-01
1.700041E-01 0.939215 4.7729E-01
1.800000E-01 0.80443 6.4826E-01
1.899847E-01 0.71342 8.6408E-01
2.000065E-01 0.68062 1.0986E+00
2.100000E-01 0.68398 1.3316E+00
2.137655E-01 0.6929 1.4226E+00
2.175158E-01 0.70782 1.5226E+00
2.190143E-01 0.71893 1.5626E+00
2.214000E-01 0.73993 1.6246E+00
2.254255E-01 0.78354 1.7226E+00
2.299833E-01 0.83224 1.8326E+00
2.339321E-01 0.88515 1.9306E+00
2.384308E-01 0.962629 2.0475E+00
2.400000E-01 0.996179 2.0845E+00
2.500181E-01 1.24683 2.2815E+00
2.583000E-01 1.4819 2.3805E+00
2.739978E-01 1.96374 2.4004E+00
2.850207E-01 2.2076 2.2604E+00
2.917271E-01 2.3005 2.1734E+00
3.099600E-01 2.4654 1.9774E+00
3.262737E-01 2.5314 1.8325E+00
3.440177E-01 2.5583 1.7295E+00
3.649809E-01 2.5771 1.6606E+00
3.814892E-01 2.5961 1.6256E+00
3.999484E-01 2.616 1.5966E+00
