4684 0.92
0.10000E+00 0.12576E+01 0.78691E-01
0.10500E+00 0.12665E+01 0.79827E-01
0.12500E+00 0.12034E+01 0.82421E-01
0.14000E+00 0.12874E+01 0.24730E+00
0.15500E+00 0.14616E+01 0.15217E+00
0.17500E+00 0.14270E+01 0.36138E-04
0.20000E+00 0.13317E+01 0.17223E-07
0.22000E+00 0.13488E+01 0.13752E-07
0.25000E+00 0.13348E+01 0.78483E-08
0.30000E+00 0.13281E+01 0.55969E-08
0.31750E+00 0.13262E+01 0.47910E-08
0.35000E+00 0.13238E+01 0.36764E-08
0.40000E+00 0.13213E+01 0.26231E-08
0.45000E+00 0.13196E+01 0.20692E-08
0.53000E+00 0.13177E+01 0.15920E-08
0.57000E+00 0.13169E+01 0.24979E-08
0.65000E+00 0.13157E+01 0.86614E-08
0.73000E+00 0.13146E+01 0.30681E-07
0.85000E+00 0.13131E+01 0.17509E-06
0.10000E+01 0.13111E+01 0.11444E-05
0.11500E+01 0.13088E+01 0.31669E-05
0.13000E+01 0.13061E+01 0.12915E-04
0.13500E+01 0.13051E+01 0.11398E-04
0.14000E+01 0.13039E+01 0.13892E-04
0.15300E+01 0.13011E+01 0.78874E-03
0.16500E+01 0.12983E+01 0.15458E-03
0.18000E+01 0.12927E+01 0.45912E-04
0.19000E+01 0.12884E+01 0.21729E-03
0.20000E+01 0.12837E+01 0.56419E-03
0.21500E+01 0.12746E+01 0.45170E-03
0.22700E+01 0.12645E+01 0.18006E-03
0.23500E+01 0.12541E+01 0.79725E-03
2.50019 1.2282 2.5913e-05
2.50319 1.2276 0.0000
2.50627 1.2269 0.0000
2.50928 1.2264 0.0000
2.51231 1.2259 0.0000
2.51534 1.2250 0.0000
2.51838 1.2242 0.0000
2.5215 1.2237 0.0000
2.52455 1.2230 0.0000
2.52761 1.2223 0.0000
2.53068 1.2217 0.0000
2.53383 1.2209 0.0000
2.53691 1.2202 0.0000
2.54001 1.2194 0.0000
2.54311 1.2187 0.0000
2.54621 1.2179 0.0000
2.54939 1.2171 0.0000
2.55252 1.2165 0.0000
2.55565 1.2156 0.0000
