18254 0.92
1.99996 1.3062010 -1.3000000e-05
2.00005 1.3062030 -9.0000000e-06
2.00015 1.3062190 -2.8000000e-05
2.00024 1.3062040 -6.0000000e-05
2.00034 1.3061670 -6.8000000e-05
2.00044 1.3061390 -4.4000000e-05
2.00053 1.3061400 -1.7000000e-05
2.00063 1.3061520 -5.0000000e-06
2.00073 1.3061600 -1.0000000e-06
2.00082 1.3061700 3.0000000e-06
2.00092 1.3061810 -5.0000000e-06
2.00102 1.3061780 -1.7000000e-05
2.00111 1.3061640 -1.7000000e-05
2.00121 1.3061630 3.0000000e-06
2.00131 1.3061860 7.0000000e-06
2.0014 1.3061970 -9.0000000e-06
2.0015 1.3061910 -2.5000000e-05
2.0016 1.3061780 -2.5000000e-05
2.00169 1.3061770 -1.7000000e-05
2.00179 1.3061830 -1.3000000e-05
2.00189 1.3061900 -1.7000000e-05
2.00198 1.3061940 -2.1000000e-05
2.00208 1.3062020 -2.9000000e-05
2.00218 1.3062000 -4.8000000e-05
2.00227 1.3061830 -5.6000000e-05
2.00237 1.3061720 -4.9000000e-05
2.00247 1.3061740 -4.1000000e-05
2.00256 1.3061810 -4.5000000e-05
2.00266 1.3061750 -5.3000000e-05
2.00276 1.3061710 -4.9000000e-05
2.00285 1.3061760 -4.9000000e-05
2.00295 1.3061790 -6.0000000e-05
2.00305 1.3061670 -7.2000000e-05
2.00314 1.3061520 -6.5000000e-05
2.00324 1.3061530 -5.3000000e-05
2.00334 1.3061660 -5.3000000e-05
2.00343 1.3061670 -6.9000000e-05
2.00353 1.3061560 -7.3000000e-05
2.00363 1.3061530 -7.3000000e-05
2.00372 1.3061510 -7.7000000e-05
2.00382 1.3061440 -8.5000000e-05
2.00392 1.3061290 -8.5000000e-05
2.00401 1.3061230 -7.7000000e-05
2.00411 1.3061260 -7.7000000e-05
2.00421 1.3061160 -8.9000000e-05
2.0043 1.3060900 -8.1000000e-05
2.0044 1.3060830 -5.4000000e-05
2.0045 1.3061000 -3.4000000e-05
2.00459 1.3061180 -4.2000000e-05
2.00469 1.3061160 -5.3000000e-05
2.00479 1.3061080 -5.4000000e-05
2.00489 1.3061050 -4.6000000e-05
2.00498 1.3061110 -4.6000000e-05
2.00508 1.3061050 -5.0000000e-05
2.00518 1.3061000 -4.2000000e-05
2.00527 1.3061070 -3.4000000e-05
2.00537 1.3061150 -3.8000000e-05
2.00547 1.3061130 -4.2000000e-05
2.00556 1.3061120 -3.8000000e-05
2.00566 1.3061220 -3.4000000e-05
2.00576 1.3061360 -4.6000000e-05
2.00585 1.3061320 -6.6000000e-05
2.00595 1.3061200 -7.7000000e-05
2.00605 1.3061080 -8.1000000e-05
2.00615 1.3060970 -8.5000000e-05
2.00624 1.3060780 -8.6000000e-05
2.00634 1.3060620 -7.0000000e-05
2.00644 1.3060630 -5.0000000e-05
2.00653 1.3060770 -4.6000000e-05
2.00663 1.3060750 -5.8000000e-05
2.00673 1.3060590 -5.4000000e-05
2.00682 1.3060540 -3.9000000e-05
2.00692 1.3060590 -2.7000000e-05
2.00702 1.3060650 -2.3000000e-05
2.00712 1.3060680 -1.9000000e-05
2.00721 1.3060740 -1.1000000e-05
2.00731 1.3060910 -1.1000000e-05
2.00741 1.3060980 -2.7000000e-05
2.0075 1.3060880 -3.9000000e-05
2.0076 1.3060750 -3.5000000e-05
2.0077 1.3060760 -2.3000000e-05
2.0078 1.3060850 -2.3000000e-05
2.00789 1.3060860 -2.7000000e-05
2.00799 1.3060860 -2.7000000e-05
2.00809 1.3060900 -2.7000000e-05
2.00818 1.3060930 -3.5000000e-05
2.00828 1.3060850 -4.3000000e-05
2.00838 1.3060760 -3.9000000e-05
2.00848 1.3060770 -3.1000000e-05
2.00857 1.3060830 -3.1000000e-05
2.00867 1.3060850 -3.5000000e-05
2.00877 1.3060870 -3.9000000e-05
2.00887 1.3060860 -4.7000000e-05
2.00896 1.3060800 -5.5000000e-05
2.00906 1.3060650 -5.9000000e-05
2.00916 1.3060540 -4.7000000e-05
2.00926 1.3060610 -3.5000000e-05
2.00935 1.3060720 -4.3000000e-05
2.00945 1.3060650 -5.9000000e-05
2.00955 1.3060440 -5.9000000e-05
2.00964 1.3060350 -4.4000000e-05
2.00974 1.3060380 -3.6000000e-05
2.00984 1.3060370 -3.6000000e-05
2.00994 1.3060300 -3.2000000e-05
2.01003 1.3060280 -2.0000000e-05
2.01013 1.3060350 -1.2000000e-05
2.01023 1.3060390 -1.2000000e-05
2.01033 1.3060400 -8.0000000e-06
2.01042 1.3060470 -4.0000000e-06
2.01052 1.3060560 -8.0000000e-06
2.01062 1.3060550 -2.0000000e-05
2.01072 1.3060420 -2.0000000e-05
2.01081 1.3060430 -8.0000000e-06
2.01091 1.3060520 -8.0000000e-06
2.01101 1.3060530 -1.6000000e-05
2.01111 1.3060440 -2.0000000e-05
2.0112 1.3060390 -9.0000000e-06
2.0113 1.3060470 -5.0000000e-06
2.0114 1.3060510 -9.0000000e-06
2.0115 1.3060500 -1.6000000e-05
2.01159 1.3060420 -1.6000000e-05
2.01169 1.3060430 -1.3000000e-05
2.01179 1.3060380 -1.7000000e-05
2.01189 1.3060290 -1.3000000e-05
2.01198 1.3060230 -1.0000000e-06
2.01208 1.3060310 1.5000000e-05
2.01218 1.3060480 1.1000000e-05
2.01228 1.3060450 -1.0000000e-06
2.01237 1.3060350 3.0000000e-06
2.01247 1.3060370 1.5000000e-05
2.01257 1.3060490 1.9000000e-05
2.01267 1.3060540 1.1000000e-05
2.01276 1.3060470 1.1000000e-05
2.01286 1.3060500 2.3000000e-05
2.01296 1.3060670 2.7000000e-05
2.01306 1.3060810 1.5000000e-05
2.01316 1.3060820 3.0000000e-06
2.01325 1.3060860 -5.0000000e-06
2.01335 1.3060880 -2.1000000e-05
2.01345 1.3060760 -4.0000000e-05
2.01355 1.3060520 -4.5000000e-05
2.01364 1.3060360 -3.3000000e-05
