113 0.92
0.105 0.13459E+01 0.80543E-01
0.207 0.13584E+01 0.48225E-01
0.41 0.13876E+01 0.65175E-01
0.81 0.14197E+01 0.53441E-01
1 0.14254E+01 0.50752E-01
1.0179 0.14258E+01 0.50561E-01
1.0772 0.14270E+01 0.49923E-01
1.1406 0.14281E+01 0.49127E-01
1.2072 0.14290E+01 0.48301E-01
1.2775 0.14293E+01 0.47613E-01
1.3522 0.14297E+01 0.47113E-01
1.4313 0.14301E+01 0.46510E-01
1.5151 0.14300E+01 0.45935E-01
1.6039 0.14294E+01 0.45815E-01
1.6977 0.14291E+01 0.45526E-01
1.7971 0.14278E+01 0.45394E-01
1.9021 0.14263E+01 0.45379E-01
2.0136 0.14245E+01 0.45147E-01
2.1313 0.14205E+01 0.44568E-01
2.2562 0.14144E+01 0.44024E-01
2.3879 0.14054E+01 0.43384E-01
2.5281 0.13929E+01 0.42023E-01
2.676 0.13566E+01 0.41403E-01
2.8325 0.12433E+01 0.94401E-01
2.9983 0.13637E+01 0.36373E+00
3.1741 0.16337E+01 0.24288E+00
3.3599 0.15655E+01 0.96758E-01
3.5565 0.15444E+01 0.85643E-01
3.7638 0.15278E+01 0.62810E-01
3.9839 0.15086E+01 0.55763E-01
4.217 0.14951E+01 0.57539E-01
4.4645 0.14921E+01 0.64454E-01
4.7266 0.14945E+01 0.58963E-01
5.0032 0.14847E+01 0.53827E-01
5.296 0.14744E+01 0.53411E-01
5.6049 0.14536E+01 0.61024E-01
5.9321 0.14555E+01 0.97216E-01
6.2806 0.14814E+01 0.10043E+00
6.6477 0.14873E+01 0.88001E-01
7.0363 0.14832E+01 0.82945E-01
7.4507 0.14792E+01 0.78729E-01
7.8868 0.14644E+01 0.75602E-01
8.3488 0.14347E+01 0.75134E-01
8.8368 0.14374E+01 0.12233E+00
9.3499 0.14620E+01 0.10157E+00
9.9026 0.14067E+01 0.92874E-01
10.48 0.13623E+01 0.14272E+00
11.089 0.13449E+01 0.22381E+00
11.741 0.13858E+01 0.31860E+00
12.428 0.14663E+01 0.36895E+00
13.156 0.15559E+01 0.38626E+00
13.926 0.16354E+01 0.36099E+00
14.74 0.16919E+01 0.31775E+00
15.603 0.17247E+01 0.26865E+00
16.517 0.17342E+01 0.21498E+00
17.484 0.17295E+01 0.18729E+00
18.507 0.17253E+01 0.16503E+00
19.589 0.17292E+01 0.13906E+00
20.736 0.17203E+01 0.11317E+00
21.951 0.17059E+01 0.84533E-01
23.235 0.16843E+01 0.71609E-01
24.594 0.16590E+01 0.64774E-01
26.035 0.16345E+01 0.60008E-01
27.557 0.16083E+01 0.55781E-01
29.172 0.15791E+01 0.61514E-01
30.879 0.15452E+01 0.83663E-01
32.687 0.15088E+01 0.10823E+00
34.593 0.14785E+01 0.15561E+00
36.626 0.14502E+01 0.21987E+00
38.768 0.14213E+01 0.28758E+00
41.039 0.14464E+01 0.37865E+00
43.441 0.15433E+01 0.49735E+00
45.97 0.16580E+01 0.59045E+00
48.677 0.18043E+01 0.54451E+00
51.508 0.18867E+01 0.46462E+00
54.521 0.19031E+01 0.36919E+00
57.719 0.18670E+01 0.34021E+00
61.104 0.18647E+01 0.35891E+00
64.674 0.19001E+01 0.37188E+00
68.459 0.19438E+01 0.36159E+00
72.461 0.19805E+01 0.33376E+00
76.72 0.19995E+01 0.30757E+00
81.192 0.20187E+01 0.28087E+00
85.978 0.20394E+01 0.25328E+00
90.961 0.20571E+01 0.22221E+00
96.333 0.20590E+01 0.17991E+00
101.96 0.20545E+01 0.14303E+00
107.9 0.20348E+01 0.11910E+00
114.27 0.20180E+01 0.10617E+00
120.96 0.20039E+01 0.99744E-01
127.99 0.19965E+01 0.97497E-01
135.48 0.19924E+01 0.95430E-01
143.41 0.19900E+01 0.93766E-01
151.81 0.19884E+01 0.91374E-01
160.68 0.19896E+01 0.89225E-01
170.09 0.19905E+01 0.86657E-01
180.05 0.19908E+01 0.83723E-01
190.59 0.19904E+01 0.80639E-01
201.76 0.19894E+01 0.77786E-01
213.54 0.19906E+01 0.75761E-01
226.03 0.19925E+01 0.72596E-01
239.3 0.19939E+01 0.69686E-01
253.28 0.19953E+01 0.66231E-01
268.12 0.19959E+01 0.62667E-01
283.77 0.19964E+01 0.59340E-01
300.41 0.19963E+01 0.56720E-01
350 0.19985E+01 0.52081E-01
400 0.20013E+01 0.46338E-01
450 0.20031E+01 0.42286E-01
500 0.20049E+01 0.37475E-01
550 0.20056E+01 0.33776E-01
600 0.20057E+01 0.30048E-01
700 0.20051E+01 0.27071E-01
800 0.20065E+01 0.23633E-01
