70 4.83
10 0.74706E+01 0.58120E-01
10.526 0.74511E+01 0.39270E-01
11.111 0.74722E+01 0.90450E-01
11.765 0.74497E+01 0.64190E-01
12.5 0.73530E+01 0.47590E-01
13.333 0.72981E+01 0.11246E+00
14.286 0.73849E+01 0.18840E+00
15.385 0.73322E+01 0.23820E+00
16.667 0.72869E+01 0.22291E+00
18.182 0.73303E+01 0.35940E+00
20 0.72589E+01 0.43532E+00
20.833 0.72523E+01 0.49976E+00
21.739 0.72731E+01 0.56828E+00
22.727 0.73721E+01 0.58772E+00
23.81 0.73206E+01 0.64905E+00
25 0.74458E+01 0.62867E+00
26.316 0.74388E+01 0.46475E+00
27.778 0.73064E+01 0.50508E+00
29.412 0.71277E+01 0.56858E+00
29.851 0.70678E+01 0.58398E+00
30.303 0.69650E+01 0.57249E+00
30.769 0.68906E+01 0.70564E+00
31.25 0.67446E+01 0.70480E+00
31.746 0.64682E+01 0.88596E+00
32.258 0.65072E+01 0.12817E+01
32.787 0.64436E+01 0.16164E+01
33.333 0.70686E+01 0.20472E+01
33.898 0.74001E+01 0.17418E+01
34.483 0.75331E+01 0.17371E+01
35.088 0.77249E+01 0.12283E+01
35.714 0.72235E+01 0.96254E+00
36.364 0.68910E+01 0.11565E+01
37.037 0.64655E+01 0.13770E+01
37.736 0.59940E+01 0.23429E+01
38.462 0.69123E+01 0.36807E+01
39.216 0.83345E+01 0.34237E+01
40 0.90395E+01 0.23598E+01
40.816 0.87368E+01 0.18854E+01
41.667 0.83721E+01 0.16239E+01
42.553 0.80006E+01 0.18871E+01
43.478 0.82600E+01 0.25338E+01
44.444 0.91223E+01 0.23098E+01
45.455 0.90604E+01 0.19650E+01
46.512 0.90209E+01 0.18367E+01
47.619 0.93167E+01 0.16501E+01
48.78 0.94959E+01 0.12983E+01
50 0.91541E+01 0.13858E+01
51.282 0.91680E+01 0.10978E+01
52.632 0.92529E+01 0.10163E+01
54.054 0.92140E+01 0.83802E+00
55.556 0.90366E+01 0.76815E+00
57.143 0.89919E+01 0.72427E+00
58.824 0.89383E+01 0.67774E+00
60.606 0.88856E+01 0.63311E+00
62.5 0.88331E+01 0.59391E+00
64.516 0.87798E+01 0.56285E+00
66.667 0.87252E+01 0.54075E+00
71.429 0.86146E+01 0.51797E+00
76.923 0.85049E+01 0.52240E+00
83.333 0.84004E+01 0.56028E+00
90.909 0.83024E+01 0.62821E+00
100 0.82167E+01 0.72666E+00
111.11 0.81460E+01 0.86557E+00
125 0.80897E+01 0.10393E+01
142.86 0.80541E+01 0.12537E+01
166.67 0.80447E+01 0.15398E+01
200 0.80620E+01 0.19117E+01
250 0.81001E+01 0.23939E+01
333.33 0.81592E+01 0.32153E+01
500 0.82652E+01 0.47176E+01
