205 2.9
0.4 0.17752E+01 0.89517E-01
0.41667 0.17896E+01 0.86559E-01
0.43478 0.17985E+01 0.82791E-01
0.45455 0.18049E+01 0.78769E-01
0.47619 0.18099E+01 0.75225E-01
0.5 0.18139E+01 0.71443E-01
0.52632 0.18172E+01 0.68740E-01
0.55556 0.18208E+01 0.65948E-01
0.58824 0.18242E+01 0.62882E-01
0.625 0.18275E+01 0.58958E-01
0.66667 0.18297E+01 0.54097E-01
0.71429 0.18300E+01 0.48390E-01
0.76923 0.18273E+01 0.43365E-01
0.83333 0.18223E+01 0.40848E-01
0.90909 0.18158E+01 0.41200E-01
1 0.18074E+01 0.46908E-01
1.0101 0.18067E+01 0.48106E-01
1.0204 0.18062E+01 0.49338E-01
1.0309 0.18057E+01 0.50603E-01
1.0417 0.18054E+01 0.51899E-01
1.0526 0.18051E+01 0.53202E-01
1.0638 0.18049E+01 0.54458E-01
1.0753 0.18047E+01 0.55742E-01
1.087 0.18046E+01 0.57053E-01
1.0989 0.18045E+01 0.58393E-01
1.1111 0.18044E+01 0.59760E-01
1.1236 0.18044E+01 0.61161E-01
1.1364 0.18045E+01 0.62598E-01
1.1494 0.18047E+01 0.64064E-01
1.1628 0.18049E+01 0.65479E-01
1.1765 0.18052E+01 0.66908E-01
1.1905 0.18055E+01 0.68366E-01
1.2048 0.18058E+01 0.69846E-01
1.2195 0.18062E+01 0.71361E-01
1.2346 0.18066E+01 0.72914E-01
1.25 0.18070E+01 0.74479E-01
1.2658 0.18074E+01 0.76300E-01
1.2821 0.18081E+01 0.78175E-01
1.2987 0.18090E+01 0.80074E-01
1.3158 0.18100E+01 0.82014E-01
1.3333 0.18113E+01 0.83994E-01
1.3514 0.18130E+01 0.85987E-01
1.3699 0.18149E+01 0.87271E-01
1.3889 0.18165E+01 0.88565E-01
1.4085 0.18183E+01 0.89873E-01
1.4286 0.18200E+01 0.91184E-01
1.4493 0.18223E+01 0.92565E-01
1.4706 0.18247E+01 0.92963E-01
1.4925 0.18265E+01 0.93290E-01
1.5152 0.18283E+01 0.93594E-01
1.5385 0.18299E+01 0.93893E-01
1.5625 0.18314E+01 0.94183E-01
1.5873 0.18329E+01 0.94464E-01
1.6129 0.18342E+01 0.94730E-01
1.6393 0.18355E+01 0.94987E-01
1.6667 0.18366E+01 0.95447E-01
1.6949 0.18378E+01 0.96041E-01
1.7241 0.18390E+01 0.96648E-01
1.7544 0.18402E+01 0.97292E-01
1.7857 0.18414E+01 0.98285E-01
1.8182 0.18430E+01 0.99304E-01
1.8519 0.18447E+01 0.10033E+00
1.8868 0.18466E+01 0.10138E+00
1.9231 0.18488E+01 0.10245E+00
1.9608 0.18515E+01 0.10330E+00
2 0.18543E+01 0.10348E+00
2.0408 0.18571E+01 0.10366E+00
2.0833 0.18600E+01 0.10306E+00
2.1277 0.18624E+01 0.10216E+00
2.1739 0.18645E+01 0.10120E+00
2.2222 0.18664E+01 0.10021E+00
2.2727 0.18681E+01 0.99145E-01
2.3256 0.18697E+01 0.98033E-01
2.381 0.18710E+01 0.96898E-01
2.439 0.18721E+01 0.95688E-01
2.5 0.18729E+01 0.94725E-01
2.5641 0.18736E+01 0.93860E-01
2.6316 0.18743E+01 0.93277E-01
2.7027 0.18751E+01 0.92673E-01
2.7778 0.18759E+01 0.92045E-01
2.8571 0.18766E+01 0.91389E-01
2.9412 0.18774E+01 0.90703E-01
3.0303 0.18782E+01 0.89809E-01
3.125 0.18788E+01 0.88458E-01
3.2258 0.18787E+01 0.86929E-01
3.3333 0.18782E+01 0.85570E-01
3.4483 0.18771E+01 0.84283E-01
3.5714 0.18756E+01 0.83581E-01
3.7037 0.18741E+01 0.83146E-01
3.8462 0.18725E+01 0.82701E-01
4 0.18709E+01 0.82445E-01
4.1667 0.18690E+01 0.81288E-01
4.3478 0.18657E+01 0.79672E-01
4.5455 0.18608E+01 0.78284E-01
4.7619 0.18547E+01 0.77954E-01
5 0.18477E+01 0.77608E-01
5.2632 0.18386E+01 0.77300E-01
5.5556 0.18269E+01 0.77639E-01
5.8824 0.18119E+01 0.78669E-01
6.25 0.17920E+01 0.80853E-01
6.6667 0.17659E+01 0.85163E-01
7.1429 0.17294E+01 0.90388E-01
7.5 0.16933E+01 0.95132E-01
7.7 0.16683E+01 0.99221E-01
7.9 0.16395E+01 0.10518E+00
8.1 0.16053E+01 0.11260E+00
8.3 0.15615E+01 0.12526E+00
8.5 0.15137E+01 0.14710E+00
8.5999 0.14775E+01 0.15970E+00
8.7002 0.14436E+01 0.19473E+00
8.7997 0.14222E+01 0.22725E+00
8.9 0.14054E+01 0.26750E+00
9.0001 0.13937E+01 0.29466E+00
9.1 0.13709E+01 0.32971E+00
9.1996 0.13549E+01 0.37460E+00
9.2997 0.13419E+01 0.41976E+00
9.4003 0.13354E+01 0.47818E+00
9.5003 0.13474E+01 0.53293E+00
9.5997 0.13630E+01 0.57325E+00
9.7003 0.13678E+01 0.61190E+00
9.8001 0.13703E+01 0.66582E+00
9.9 0.13919E+01 0.73333E+00
10 0.14394E+01 0.78665E+00
10.1 0.14867E+01 0.81985E+00
10.2 0.15281E+01 0.85141E+00
10.3 0.15755E+01 0.87382E+00
10.4 0.16156E+01 0.89610E+00
10.5 0.16641E+01 0.91462E+00
10.6 0.17152E+01 0.92567E+00
10.7 0.17640E+01 0.92081E+00
10.8 0.17960E+01 0.91196E+00
10.9 0.18267E+01 0.91749E+00
11 0.18597E+01 0.91020E+00
11.1 0.18870E+01 0.91603E+00
11.2 0.19224E+01 0.91314E+00
11.3 0.19509E+01 0.91821E+00
11.4 0.19950E+01 0.91475E+00
11.5 0.20295E+01 0.91159E+00
11.6 0.20802E+01 0.90731E+00
11.7 0.21371E+01 0.88220E+00
11.8 0.21787E+01 0.83988E+00
11.9 0.22077E+01 0.79263E+00
12 0.22190E+01 0.73967E+00
12.2 0.22150E+01 0.68722E+00
12.4 0.22353E+01 0.62512E+00
12.6 0.22236E+01 0.56373E+00
12.8 0.22027E+01 0.51192E+00
13 0.21711E+01 0.47438E+00
13.2 0.21352E+01 0.44865E+00
13.4 0.21016E+01 0.44110E+00
13.6 0.20794E+01 0.43654E+00
13.8 0.20576E+01 0.43172E+00
14 0.20379E+01 0.43260E+00
14.5 0.20058E+01 0.42016E+00
15 0.19213E+01 0.39638E+00
15.152 0.18884E+01 0.40965E+00
15.385 0.18505E+01 0.43509E+00
15.625 0.18154E+01 0.46615E+00
15.873 0.17844E+01 0.50361E+00
16.129 0.17574E+01 0.54757E+00
16.393 0.17357E+01 0.59843E+00
16.667 0.17206E+01 0.65615E+00
16.949 0.17142E+01 0.72021E+00
17.241 0.17189E+01 0.78938E+00
17.544 0.17367E+01 0.86137E+00
17.857 0.17690E+01 0.93269E+00
18.182 0.18162E+01 0.99940E+00
18.519 0.18770E+01 0.10571E+01
18.868 0.19483E+01 0.11018E+01
19.231 0.20257E+01 0.11311E+01
19.608 0.21040E+01 0.11442E+01
20 0.21778E+01 0.11426E+01
20.408 0.22433E+01 0.11302E+01
20.833 0.22988E+01 0.11114E+01
21.277 0.23447E+01 0.10911E+01
21.739 0.23826E+01 0.10723E+01
22 0.24011E+01 0.10654E+01
22.5 0.24401E+01 0.10538E+01
23 0.24783E+01 0.10403E+01
23.5 0.25135E+01 0.10225E+01
24 0.25422E+01 0.10069E+01
27 0.26850E+01 0.89763E+00
30 0.27435E+01 0.84183E+00
36 0.29256E+01 0.73463E+00
51.999 0.30195E+01 0.43806E+00
67.999 0.30324E+01 0.34175E+00
84.998 0.30531E+01 0.27232E+00
100 0.30581E+01 0.23089E+00
130 0.30662E+01 0.17763E+00
180 0.30707E+01 0.12819E+00
240 0.30734E+01 0.96133E-01
310 0.30746E+01 0.74469E-01
419.99 0.30755E+01 0.54944E-01
549.99 0.30756E+01 0.41952E-01
699.99 0.30763E+01 0.33857E-01
849.98 0.30770E+01 0.27151E-01
1000 0.30766E+01 0.23079E-01
1300 0.30768E+01 0.17754E-01
1800 0.30767E+01 0.12826E-01
2400 0.30767E+01 0.96180E-02
3100 0.30767E+01 0.74373E-02
