1201 3.5
1.0000E-03 0.999565 9.7381E-05
1.0116E-03 0.999554 1.0162E-04
1.0233E-03 0.999543 1.0605E-04
1.0351E-03 0.999531 1.1063E-04
1.0471E-03 0.99952 1.1522E-04
1.0593E-03 0.999509 1.2005E-04
1.0715E-03 0.999498 1.2509E-04
1.0839E-03 0.999487 1.3036E-04
1.0965E-03 0.999476 1.3582E-04
1.1092E-03 0.999465 1.4149E-04
1.1220E-03 0.999453 1.4734E-04
1.1350E-03 0.999442 1.5348E-04
1.1482E-03 0.99943 1.5991E-04
1.1614E-03 0.999418 1.6657E-04
1.1749E-03 0.999407 1.7346E-04
1.1885E-03 0.999395 1.8055E-04
1.2023E-03 0.999383 1.8785E-04
1.2162E-03 0.999371 1.9535E-04
1.2303E-03 0.999358 2.0303E-04
1.2445E-03 0.999346 2.1102E-04
1.2589E-03 0.999334 2.1953E-04
1.2735E-03 0.999322 2.2830E-04
1.2882E-03 0.999309 2.3733E-04
1.3032E-03 0.999297 2.4659E-04
1.3183E-03 0.999284 2.5625E-04
1.3335E-03 0.999272 2.6629E-04
1.3490E-03 0.99926 2.7671E-04
1.3646E-03 0.999248 2.8747E-04
1.3804E-03 0.999237 2.9859E-04
1.3964E-03 0.999227 3.1017E-04
1.4125E-03 0.999217 3.2212E-04
1.4289E-03 0.999208 3.3440E-04
1.4454E-03 0.9992 3.4702E-04
1.4622E-03 0.999195 3.6001E-04
1.4791E-03 0.999198 3.7366E-04
1.4962E-03 0.999184 3.5142E-04
1.5136E-03 0.999161 3.6520E-04
1.5311E-03 0.999144 3.7956E-04
1.5488E-03 0.999132 3.9446E-04
1.5668E-03 0.999124 4.0989E-04
1.5849E-03 0.999123 4.2582E-04
1.6032E-03 0.999126 4.4223E-04
1.6218E-03 0.999136 4.5910E-04
1.6406E-03 0.99915 4.7642E-04
1.6596E-03 0.999192 4.9422E-04
1.6788E-03 0.999225 2.8142E-04
1.6982E-03 0.999117 2.9270E-04
1.7179E-03 0.999067 3.0421E-04
1.7378E-03 0.999022 3.1624E-04
1.7579E-03 0.99898 3.2876E-04
1.7783E-03 0.998942 3.4160E-04
1.7989E-03 0.99891 3.5472E-04
1.8197E-03 0.998879 3.6842E-04
1.8408E-03 0.998849 3.8269E-04
1.8621E-03 0.99882 3.9749E-04
1.8836E-03 0.998793 4.1282E-04
1.9055E-03 0.998766 4.2864E-04
1.9275E-03 0.998737 4.4473E-04
1.9498E-03 0.99871 4.6140E-04
1.9724E-03 0.998684 4.7864E-04
1.9953E-03 0.99866 4.9644E-04
2.0184E-03 0.998637 5.1478E-04
2.0417E-03 0.998615 5.3363E-04
2.0654E-03 0.998596 5.5296E-04
2.0893E-03 0.99858 5.7316E-04
2.1135E-03 0.998567 5.9391E-04
2.1380E-03 0.998556 6.1518E-04
2.1627E-03 0.998547 6.3695E-04
2.1878E-03 0.998541 6.5920E-04
2.2131E-03 0.998536 6.8189E-04
2.2387E-03 0.998534 7.0501E-04
2.2646E-03 0.998551 7.2873E-04
2.2909E-03 0.998605 7.5319E-04
2.3174E-03 0.998793 7.7834E-04
2.3442E-03 0.998743 3.0277E-04
2.3714E-03 0.9986 3.1456E-04
2.3988E-03 0.998467 3.2700E-04
2.4266E-03 0.998343 3.4009E-04
2.4547E-03 0.998229 3.5378E-04
2.4831E-03 0.998126 3.6788E-04
2.5119E-03 0.998056 3.8142E-04
2.5410E-03 0.997986 3.9586E-04
2.5704E-03 0.997918 4.1116E-04
2.6002E-03 0.99785 4.2729E-04
2.6303E-03 0.997782 4.4420E-04
2.6607E-03 0.997716 4.6188E-04
2.6915E-03 0.997651 4.8029E-04
2.7227E-03 0.997586 4.9940E-04
2.7542E-03 0.997522 5.1918E-04
2.7861E-03 0.997452 5.3978E-04
2.8184E-03 0.997382 5.6110E-04
2.8510E-03 0.997311 5.8311E-04
2.8840E-03 0.997239 6.0577E-04
