1201 3.5
1.000E-03 0.999565 9.738E-05
1.012E-03 0.999553 1.016E-04
1.023E-03 0.999542 1.061E-04
1.035E-03 0.999531 1.106E-04
1.047E-03 0.99952 1.152E-04
1.059E-03 0.999509 1.200E-04
1.072E-03 0.999498 1.251E-04
1.084E-03 0.999487 1.304E-04
1.096E-03 0.999475 1.358E-04
1.109E-03 0.999464 1.415E-04
1.122E-03 0.999453 1.473E-04
1.135E-03 0.999441 1.535E-04
1.148E-03 0.99943 1.599E-04
1.161E-03 0.999418 1.666E-04
1.175E-03 0.999406 1.735E-04
1.189E-03 0.999394 1.806E-04
1.202E-03 0.999382 1.879E-04
1.216E-03 0.99937 1.953E-04
1.230E-03 0.999358 2.030E-04
1.245E-03 0.999346 2.110E-04
1.259E-03 0.999333 2.195E-04
1.274E-03 0.999321 2.283E-04
1.288E-03 0.999309 2.373E-04
1.303E-03 0.999296 2.466E-04
1.318E-03 0.999284 2.562E-04
1.334E-03 0.999271 2.663E-04
1.349E-03 0.999259 2.767E-04
1.365E-03 0.999248 2.875E-04
1.380E-03 0.999236 2.986E-04
1.396E-03 0.999226 3.102E-04
1.413E-03 0.999216 3.221E-04
1.429E-03 0.999208 3.344E-04
1.445E-03 0.999199 3.470E-04
1.462E-03 0.999194 3.600E-04
1.479E-03 0.999197 3.737E-04
1.496E-03 0.999184 3.514E-04
1.514E-03 0.999161 3.652E-04
1.531E-03 0.999143 3.796E-04
1.549E-03 0.999132 3.945E-04
1.567E-03 0.999124 4.099E-04
1.585E-03 0.999122 4.258E-04
1.603E-03 0.999125 4.422E-04
1.622E-03 0.999135 4.591E-04
1.641E-03 0.999149 4.764E-04
1.660E-03 0.999192 4.942E-04
1.679E-03 0.999224 2.814E-04
1.698E-03 0.999116 2.927E-04
1.718E-03 0.999066 3.042E-04
1.738E-03 0.999021 3.162E-04
1.758E-03 0.998979 3.288E-04
1.778E-03 0.998941 3.416E-04
1.799E-03 0.998909 3.547E-04
