#====================================================================#
# Cross sections computed using SIGMA
#=====================================================================================#
# lambda[micron]   Kabs[cm^2/g]   Ksca[cm^2/g]  Kext[cm^2/g]    albedo    asymmetry_parameter  linear_pol
#=====================================================================================#
   4.9999999999999996E-002   20763.028853713720        14362.715623324135        35125.744477037835       0.40889426935031176       0.81916156618617542       0.46565896353431002     
   5.0498135074502196E-002   20705.139972839366        14291.877475274416        34997.017448113780       0.40837415635384949       0.81898385374123028       0.46577723131590232     
   5.1001232920053388E-002   20647.012104765970        14221.282154379862        34868.294259145820       0.40785712225224996       0.81880901363124980       0.46587703055989721     
   5.1509342979260089E-002   20588.651302223425        14150.936229951401        34739.587532174824       0.40734324254268145       0.81863865839656624       0.46596120070575331     
   5.2022515187310762E-002   20530.068442526393        14080.844862134041        34610.913304660433       0.40683251372734003       0.81847393776213440       0.46603812458070376     
   5.2540799976883219E-002   20471.281478351149        14011.010933505648        34482.292411856797       0.40632481060591946       0.81831256139808550       0.46611523165104801     
   5.3064248283101023E-002   20412.314049590423        13941.434887643625        34353.748937234035       0.40581989794229745       0.81815510441147188       0.46619784205091641     
   5.3592911548539145E-002   20353.182551682654        13872.115319905113        34225.297871587762       0.40531759203244488       0.81800314195318591       0.46629090762719416     
   5.4126841728279577E-002   20293.891270632197        13803.050115437838        34096.941386070037       0.40481783861930021       0.81785463735994579       0.46639406034067171     
   5.4666091295017288E-002   20234.442897583423        13734.237757421497        33968.680655004886       0.40432061218126580       0.81770889679746817       0.46650102503607765     
   5.5210713244217044E-002   20174.832562724561        13665.678386474698        33840.510949199270       0.40382600626182485       0.81756758268334218       0.46660526619338893     
   5.5760761099321605E-002   20115.053001788739        13597.374284671741        33712.427286460486       0.40333418205495664       0.81742955068581347       0.46670034509660652     
   5.6316288917011813E-002   20055.097649195013        13529.329642742816        33584.427291937842       0.40284532843561749       0.81729341987748683       0.46677938073346803     
   5.6877351292519078E-002   19994.970509867231        13461.549687125960        33456.520196993188       0.40235952836289829       0.81716094236817571       0.46684153123070615     
   5.7444003364990823E-002   19934.676661602974        13394.039442530562        33328.716104133528       0.40187685000171347       0.81703219972676755       0.46689173819380619     
   5.8016300822909310E-002   19874.227365449700        13326.802530502744        33201.029895952466       0.40139726304476514       0.81690551790727028       0.46693552049215897     
   5.8594299909564558E-002   19813.638824588277        13259.840400105277        33073.479224693539       0.40092063825583635       0.81678220048956285       0.46698041547074814     
   5.9178057428581669E-002   19752.933981581176        13193.152242684229        32946.086224265418       0.40044672234747025       0.81666302372765465       0.46703379613321899     
   5.9767630749503316E-002   19692.126681605529        13126.735610590020        32818.862292195561       0.39997534020890185       0.81654605415208115       0.46709840136011777     
   6.0363077813427798E-002   19631.220398487112        13060.587526408435        32691.807924895558       0.39950643159329524       0.81643157902668972       0.46717226947763307     
   6.0964457138703278E-002   19570.216938937974        12994.705716254151        32564.922655192076       0.39903996867569114       0.81632064838066487       0.46725137549181422     
   6.1571827826678770E-002   19509.110608199600        12929.089573215135        32438.200181414733       0.39857604617110592       0.81621161918953389       0.46732867127719024     
   6.2185249567512361E-002   19447.894341554114        12863.740555007676        32311.634896561824       0.39811481517997921       0.81610402445087038       0.46739561034443655     
   6.2804782646037380E-002   19386.561788866216        12798.661900506610        32185.223689372822       0.39765645328519422       0.81599925984229416       0.46744784482551666     
   6.3430487947686950E-002   19325.117013241303        12733.857756736557        32058.974769977860       0.39720102866986823       0.81589663965384940       0.46748557542162344     
   6.4062426964477601E-002   19263.564189118890        12669.331992273816        31932.896181392684       0.39674860433286480       0.81579530015448298       0.46751137647231605     
